layer,neuron
18,24
18,57
18,115
18,131
18,148
18,158
18,159
18,164
18,176
18,223
18,234
18,328
18,353
18,386
18,388
18,443
18,468
18,503
18,511
18,515
18,569
18,612
18,624
18,638
18,677
18,697
18,743
18,886
18,948
18,974
18,982
18,995
18,1076
18,1109
18,1114
18,1152
18,1201
18,1205
18,1237
18,1253
18,1368
18,1382
18,1412
18,1471
18,1480
18,1509
18,1555
18,1612
18,1658
18,1808
18,1875
18,1923
18,1953
18,1956
18,1958
18,2008
18,2043
18,2058
18,2059
18,2127
18,2135
18,2237
18,2245
18,2304
18,2348
18,2358
18,2369
18,2396
18,2406
18,2407
18,2418
18,2423
18,2450
18,2469
18,2494
18,2536
18,2539
18,2541
18,2603
18,2639
18,2673
18,2689
18,2718
18,2787
18,2820
18,2879
18,2910
18,2920
18,2926
18,2946
18,2969
18,3114
18,3123
18,3171
18,3222
18,3256
18,3283
18,3288
18,3350
18,3357
18,3385
18,3386
18,3457
18,3462
18,3543
18,3547
18,3563
18,3670
18,3688
18,3799
18,3803
18,3837
18,3874
18,3901
18,3989
18,4126
18,4127
18,4187
18,4286
18,4297
18,4329
18,4378
18,4457
18,4474
18,4490
18,4535
18,4537
18,4582
18,4682
18,4720
18,4777
18,4787
18,4797
18,4826
18,4872
18,4896
18,4951
18,4994
18,5009
18,5079
18,5136
18,5154
18,5172
18,5208
18,5231
18,5267
18,5280
18,5314
18,5405
18,5431
18,5444
18,5471
18,5527
18,5593
18,5640
18,5658
18,5659
18,5681
18,5736
18,5783
18,5824
18,5852
18,5890
18,5926
18,5953
18,6042
18,6071
18,6129
18,6232
18,6266
18,6269
18,6306
18,6422
18,6440
18,6450
18,6508
18,6594
18,6606
18,6625
18,6632
18,6658
18,6695
18,6727
18,6814
18,6823
18,6827
18,6830
18,7028
18,7064
18,7141
18,7149
18,7151
18,7171
18,7236
18,7250
18,7271
18,7311
18,7327
18,7342
18,7348
18,7397
18,7416
18,7430
18,7451
18,7478
18,7486
18,7508
18,7512
18,7547
18,7613
18,7624
18,7627
18,7729
18,7736
18,7747
18,7754
18,7864
18,7912
18,7924
18,7948
18,7982
18,8047
18,8072
18,8095
18,8168
18,8179
18,8263
18,8289
18,8296
18,8313
18,8316
18,8379
18,8510
18,8511
18,8551
18,8558
18,8629
18,8673
18,8709
18,8725
18,8778
18,8816
18,8877
18,8983
18,9086
18,9124
18,9150
18,9161
18,9223
18,9255
18,9258
18,9292
18,9309
18,9328
18,9345
18,9353
18,9366
18,9390
18,9432
18,9440
18,9532
18,9568
18,9581
18,9583
18,9585
18,9692
18,9743
18,9888
18,9954
18,9972
18,10016
18,10018
18,10035
18,10051
18,10064
18,10140
18,10144
18,10171
18,10190
18,10273
18,10309
18,10323
18,10347
18,10374
18,10494
18,10546
18,10558
18,10579
18,10584
18,10585
18,10652
18,10685
18,10789
18,10796
18,10806
18,10913
18,10944
18,10967
18,10993
18,11006
18,11081
18,11169
18,11186
18,11244
18,11246
18,11272
18,11276
18,11330
18,11387
18,11400
18,11406
18,11461
18,11555
18,11585
18,11587
18,11653
18,11710
18,11722
18,11820
18,11825
18,11861
18,11868
18,11885
18,11892
18,11903
18,11915
18,11975
18,12104
18,12118
18,12170
18,12197
18,12256
18,12279
18,12309
18,12378
18,12396
18,12398
18,12418
18,12495
18,12545
18,12546
18,12604
18,12636
18,12660
18,12663
18,12692
18,12746
18,12750
18,12794
18,12901
18,12909
18,12988
18,13019
18,13042
18,13060
18,13065
18,13223
18,13230
18,13333
18,13348
18,13445
18,13457
18,13464
18,13475
18,13481
18,13511
18,13625
18,13682
18,13783
18,13814
18,13854
18,13898
18,13927
18,13939
18,13991
18,14003
18,14031
18,14042
18,14071
18,14158
18,14194
18,14196
18,14203
18,14310
18,14316
18,14350
18,14355
18,14372
18,14394
18,14410
18,14444
18,14581
18,14596
18,14678
18,14698
18,14724
18,14805
18,14816
18,14864
18,14936
18,15008
18,15032
18,15094
18,15115
18,15170
18,15175
18,15219
18,15286
18,15388
18,15408
18,15411
18,15418
18,15647
18,15748
18,15760
18,15781
18,15788
18,15804
18,15818
18,15837
18,15866
18,15878
18,15889
18,15915
18,15920
18,16103
18,16196
18,16200
18,16204
18,16295
18,16296
18,16331
18,16345
18,16431
18,16459
18,16466
18,16478
18,16498
18,16533
18,16564
18,16571
18,16603
18,16616
18,16653
18,16715
18,16807
18,16818
18,16942
18,16968
18,17010
18,17091
18,17110
18,17153
18,17200
18,17201
18,17217
18,17229
18,17327
18,17362
18,17377
18,17380
18,17381
18,17555
18,17582
18,17637
18,17652
18,17677
18,17694
18,17711
18,17782
18,17824
18,17857
18,17881
18,17899
18,17916
18,17983
18,18080
18,18112
18,18133
18,18165
18,18212
18,18244
18,18254
18,18263
