exp3_rank,layer,neuron,delta,effect_size,direction,in_core,in_money,in_reward
12,24,5826,-2.5621,-3.5821,DOWN,True,True,True
13,23,11767,-2.5611,-4.2549,DOWN,True,True,True
18,27,8753,-2.3717,-4.8689,DOWN,True,True,True
22,25,18127,2.2085,2.5251,UP,False,True,False
25,24,3020,2.0906,3.6999,UP,True,True,True
30,21,1444,-2.0584,-5.5455,DOWN,True,True,True
32,25,6726,2.0453,2.5369,UP,False,True,False
36,26,7615,1.9946,3.0732,UP,True,True,True
38,26,7400,-1.981,-9.6015,DOWN,True,True,True
51,26,2049,-1.8443,-6.3039,DOWN,True,True,True
53,24,2355,-1.8002,-4.1323,DOWN,False,True,False
56,25,15049,-1.7877,-2.495,DOWN,True,True,True
60,23,8069,-1.77,-7.8269,DOWN,True,True,True
62,22,17559,-1.7353,-11.7662,DOWN,True,True,True
63,26,1546,-1.7264,-4.7392,DOWN,True,True,True
71,27,17043,-1.687,-5.2393,DOWN,True,True,True
81,25,2025,-1.636,-5.442,DOWN,True,True,True
84,27,18933,-1.6159,-4.6293,DOWN,False,False,True
87,26,18347,1.5953,2.7171,UP,True,True,True
90,27,1133,-1.5831,-3.2947,DOWN,False,True,False
94,22,12581,-1.5723,-4.1442,DOWN,True,True,True
96,27,17813,1.5703,3.4202,UP,False,True,False
100,27,16608,1.5565,3.2043,UP,True,True,True
102,26,1541,-1.5512,-7.5026,DOWN,False,False,True
105,25,6621,-1.5408,-5.7163,DOWN,True,True,True
108,25,13943,-1.5361,-7.339,DOWN,False,True,False
123,23,8846,1.4907,3.9488,UP,True,True,True
128,26,3706,-1.4803,-2.3633,DOWN,False,False,True
150,24,12601,-1.418,-11.6173,DOWN,True,True,True
152,26,1748,1.4128,2.118,UP,False,True,False
154,23,10873,-1.4103,-1.9366,DOWN,True,True,True
163,27,15789,-1.3881,-2.8855,DOWN,False,False,True
170,26,14424,1.3634,2.8878,UP,False,True,False
186,25,3560,1.3329,3.0631,UP,True,True,True
199,19,16180,1.3052,7.8247,UP,True,True,True
201,22,13172,1.3014,2.88,UP,False,True,False
210,27,4676,-1.2878,-4.5979,DOWN,True,True,True
226,18,9086,1.2654,3.5934,UP,False,True,False
228,27,11540,-1.2643,-1.9242,DOWN,False,True,False
235,27,10863,-1.2604,-3.9239,DOWN,True,True,True
236,26,15508,-1.2597,-6.098,DOWN,False,True,False
245,23,6656,-1.2464,-5.8929,DOWN,True,True,True
248,23,5367,-1.2441,-6.5194,DOWN,True,True,True
252,27,268,1.2358,1.8688,UP,False,True,False
267,23,12531,-1.2059,-3.4437,DOWN,False,True,False
270,23,3626,1.198,1.4027,UP,True,True,True
274,27,10787,-1.1953,-7.8185,DOWN,False,False,True
285,22,9570,-1.1755,-9.5562,DOWN,False,True,False
286,26,11396,-1.1748,-6.1263,DOWN,False,True,False
297,27,10467,-1.1633,-6.0397,DOWN,True,True,True
298,25,4995,-1.1628,-2.586,DOWN,True,True,True
301,23,11142,-1.1609,-7.1475,DOWN,False,True,False
303,19,7542,-1.1566,-9.9829,DOWN,True,True,True
313,26,12731,-1.1462,-5.0326,DOWN,False,False,True
327,22,10049,1.1315,2.2217,UP,False,False,True
328,21,83,-1.1306,-4.5365,DOWN,False,False,True
342,24,1489,-1.1165,-7.9467,DOWN,False,True,False
349,22,17367,-1.1106,-6.2866,DOWN,False,True,False
366,27,5926,1.0974,4.0801,UP,True,True,True
368,22,196,1.0969,5.6656,UP,True,True,True
372,19,12919,1.0938,7.5299,UP,False,True,False
378,27,6305,1.0902,4.0881,UP,True,True,True
381,25,11108,-1.0874,-4.2878,DOWN,False,False,True
382,21,16580,-1.0861,-3.9553,DOWN,True,True,True
396,26,6776,1.0761,2.2162,UP,False,True,False
401,26,3685,-1.0726,-4.4963,DOWN,True,True,True
413,25,11663,-1.0651,-4.2277,DOWN,False,True,False
424,19,13250,-1.0606,-3.8824,DOWN,False,False,True
425,20,7839,-1.0601,-4.3519,DOWN,False,True,False
433,26,12122,1.0573,2.5826,UP,True,True,True
435,25,5835,-1.0566,-1.7358,DOWN,False,True,False
437,26,947,1.056,1.3094,UP,False,False,True
438,27,5581,-1.0548,-1.6367,DOWN,False,False,True
445,24,5256,-1.0445,-5.6528,DOWN,True,True,True
447,21,190,-1.0428,-3.7946,DOWN,False,True,False
451,19,12866,1.04,5.2475,UP,True,True,True
454,25,15173,1.039,3.2474,UP,True,True,True
460,19,8716,1.0322,3.6425,UP,True,True,True
475,25,11052,1.0215,3.2658,UP,True,True,True
488,24,220,-1.0148,-4.9002,DOWN,True,True,True
489,21,13477,-1.0148,-5.0935,DOWN,True,True,True
490,18,386,-1.0148,-6.1566,DOWN,False,False,True
493,27,2096,-1.0118,-7.2404,DOWN,False,False,True
