layer,neuron,delta,effect_size,direction,in_core,in_reward
24,5826,-2.5621,-3.5821,DOWN,True,True
23,11767,-2.5611,-4.2549,DOWN,True,True
27,8753,-2.3717,-4.8689,DOWN,True,True
24,3020,2.0906,3.6999,UP,True,True
21,1444,-2.0584,-5.5455,DOWN,True,True
26,7615,1.9946,3.0732,UP,True,True
26,7400,-1.981,-9.6015,DOWN,True,True
26,2049,-1.8443,-6.3039,DOWN,True,True
25,15049,-1.7877,-2.495,DOWN,True,True
23,8069,-1.77,-7.8269,DOWN,True,True
22,17559,-1.7353,-11.7662,DOWN,True,True
26,1546,-1.7264,-4.7392,DOWN,True,True
27,17043,-1.687,-5.2393,DOWN,True,True
25,2025,-1.636,-5.442,DOWN,True,True
27,18933,-1.6159,-4.6293,DOWN,False,True
26,18347,1.5953,2.7171,UP,True,True
22,12581,-1.5723,-4.1442,DOWN,True,True
27,16608,1.5565,3.2043,UP,True,True
26,1541,-1.5512,-7.5026,DOWN,False,True
25,6621,-1.5408,-5.7163,DOWN,True,True
23,8846,1.4907,3.9488,UP,True,True
26,3706,-1.4803,-2.3633,DOWN,False,True
24,12601,-1.418,-11.6173,DOWN,True,True
23,10873,-1.4103,-1.9366,DOWN,True,True
27,15789,-1.3881,-2.8855,DOWN,False,True
25,3560,1.3329,3.0631,UP,True,True
19,16180,1.3052,7.8247,UP,True,True
27,4676,-1.2878,-4.5979,DOWN,True,True
27,10863,-1.2604,-3.9239,DOWN,True,True
23,6656,-1.2464,-5.8929,DOWN,True,True
23,5367,-1.2441,-6.5194,DOWN,True,True
23,3626,1.198,1.4027,UP,True,True
27,10787,-1.1953,-7.8185,DOWN,False,True
27,10467,-1.1633,-6.0397,DOWN,True,True
25,4995,-1.1628,-2.586,DOWN,True,True
19,7542,-1.1566,-9.9829,DOWN,True,True
26,12731,-1.1462,-5.0326,DOWN,False,True
22,10049,1.1315,2.2217,UP,False,True
21,83,-1.1306,-4.5365,DOWN,False,True
27,5926,1.0974,4.0801,UP,True,True
22,196,1.0969,5.6656,UP,True,True
27,6305,1.0902,4.0881,UP,True,True
25,11108,-1.0874,-4.2878,DOWN,False,True
21,16580,-1.0861,-3.9553,DOWN,True,True
26,3685,-1.0726,-4.4963,DOWN,True,True
19,13250,-1.0606,-3.8824,DOWN,False,True
26,12122,1.0573,2.5826,UP,True,True
26,947,1.056,1.3094,UP,False,True
27,5581,-1.0548,-1.6367,DOWN,False,True
24,5256,-1.0445,-5.6528,DOWN,True,True
19,12866,1.04,5.2475,UP,True,True
25,15173,1.039,3.2474,UP,True,True
19,8716,1.0322,3.6425,UP,True,True
25,11052,1.0215,3.2658,UP,True,True
24,220,-1.0148,-4.9002,DOWN,True,True
21,13477,-1.0148,-5.0935,DOWN,True,True
18,386,-1.0148,-6.1566,DOWN,False,True
27,2096,-1.0118,-7.2404,DOWN,False,True
