Layer,Neuron
27,1435
27,1261
28,1205
28,1562
27,1627
27,3250
25,297
28,85
27,2612
28,3157
28,1781
27,1245
26,1518
27,2258
26,862
25,809
27,1437
28,2037
27,61
27,180
27,900
25,2322
27,2230
23,3206
27,2587
27,2413
28,1628
27,2358
26,2631
27,198
27,3206
27,2431
27,2724
27,1403
28,2604
26,1929
27,2733
27,2861
26,3134
27,2205
27,164
28,2631
28,2750
26,809
28,2695
25,2733
27,3172
26,1767
25,2861
27,1732
26,1895
27,2351
27,1942
26,2105
28,565
26,2343
27,2189
28,217
24,2236
27,2253
27,2198
27,1359
25,2900
27,2863
27,3110
27,3229
25,1359
26,3447
26,2016
27,1142
25,3110
27,1633
23,2792
26,2208
28,201
26,768
26,1915
26,2818
28,3447
27,2792
26,1451
27,2737
26,20
25,2792
28,2208
27,1553
23,2358
28,3312
26,1435
20,458
26,297
26,1627
24,3134
26,3250
27,1656
28,404
27,1427
26,196
28,3577
25,2358
28,523
25,3206
21,2107
27,2104
27,444
27,737
24,2343
26,180
23,1841
25,737
28,2740
26,2413
28,2258
26,2358
27,1841
26,3206
22,2107
27,2570
26,3270
26,2733
27,2579
27,1804
25,1841
27,602
27,1978
27,3372
24,2208
27,1932
28,2413
28,2477
28,1940
27,565
28,2660
27,1413
28,692
27,2316
27,339
27,458
27,3283
26,2900
28,1915
26,2253
26,1359
23,2236
28,310
21,3206
27,2837
26,3110
27,2236
28,2900
27,1827
27,39
28,1359
27,277
25,2236
28,877
26,2792
27,2037
27,2876
24,2258
26,2255
28,1261
27,1927
22,3206
27,2894
27,1518
26,1498
27,862
28,2127
27,325
27,2366
28,1352
24,2358
28,879
24,3206
25,2366
28,113
27,2631
27,297
27,2750
27,2695
25,3516
27,1264
26,1656
28,314
27,910
28,616
27,3134
28,2358
27,809
27,217
28,698
25,3134
27,1895
26,737
25,1895
28,362
27,2105
26,3217
27,2343
26,1841
28,2906
27,210
26,602
27,3447
26,3438
27,3099
27,274
23,2208
27,2016
27,2144
23,2107
28,2451
27,1915
27,2208
24,2792
26,565
27,2818
28,602
27,2107
28,547
26,339
25,2208
28,2051
26,3283
27,20
27,2900
27,2418
28,37
27,3156
27,3449
27,2619
27,3577
26,2236
