Layer,Neuron
19,3206
20,458
20,3206
21,458
21,2107
21,2401
21,3206
22,1841
22,2107
22,2294
22,2570
22,3206
22,3311
23,196
23,824
23,996
23,1111
23,1359
23,1531
23,1841
23,2107
23,2198
23,2202
23,2208
23,2236
23,2258
23,2358
23,2570
23,2612
23,2792
23,2819
23,3110
23,3206
23,3311
23,3473
24,209
24,339
24,613
24,654
24,711
24,793
24,824
24,908
24,1111
24,1531
24,1560
24,1610
24,1767
24,1841
24,2107
24,2133
24,2190
24,2202
24,2208
24,2236
24,2258
24,2294
24,2343
24,2358
24,2401
24,2612
24,2619
24,2745
24,2776
24,2792
24,2819
24,2923
24,3110
24,3134
24,3206
24,3270
24,3283
24,3311
24,3430
24,3473
25,154
25,164
25,180
25,209
25,297
25,339
25,613
25,654
25,707
25,737
25,809
25,824
25,877
25,959
25,1019
25,1110
25,1111
25,1295
25,1319
25,1359
25,1435
25,1451
25,1491
25,1531
25,1560
25,1767
25,1771
25,1841
25,1895
25,2019
25,2103
25,2107
25,2133
25,2179
25,2202
25,2205
25,2208
25,2236
25,2258
25,2322
25,2323
25,2358
25,2366
25,2401
25,2501
25,2574
25,2612
25,2619
25,2620
25,2733
25,2745
25,2792
25,2861
25,2900
25,2913
25,2923
25,3064
25,3110
25,3132
25,3134
25,3143
25,3171
25,3172
25,3189
25,3206
25,3283
25,3311
25,3403
25,3430
25,3438
25,3516
26,20
26,39
26,62
26,119
26,134
26,157
26,164
26,180
26,196
26,198
26,209
26,215
26,216
26,241
26,297
26,317
26,339
26,344
26,369
26,474
26,518
26,565
26,575
26,602
26,607
26,654
26,707
26,737
26,768
26,809
26,824
26,862
26,877
26,893
26,908
26,986
26,1019
26,1033
26,1082
26,1106
26,1237
26,1245
26,1268
26,1319
26,1359
26,1427
26,1435
26,1451
26,1487
26,1491
26,1498
26,1518
26,1531
26,1534
26,1560
26,1627
26,1634
26,1656
26,1686
26,1767
26,1827
26,1835
26,1841
26,1844
26,1858
26,1895
26,1915
26,1919
26,1929
26,1942
26,1951
26,1965
26,2016
26,2019
26,2103
26,2105
26,2107
26,2133
26,2168
26,2183
26,2193
26,2198
26,2202
26,2205
26,2208
26,2236
26,2253
26,2255
26,2258
26,2277
26,2294
26,2299
26,2316
26,2322
26,2343
26,2358
26,2413
26,2544
26,2570
26,2574
26,2605
26,2612
26,2619
26,2631
26,2633
26,2695
26,2707
26,2733
26,2745
26,2792
26,2795
26,2818
26,2861
26,2862
26,2900
26,2913
26,2923
26,3045
26,3057
26,3064
26,3105
26,3110
26,3134
26,3172
26,3188
26,3189
26,3201
26,3206
26,3216
26,3217
26,3250
26,3270
26,3283
26,3287
26,3303
26,3311
26,3322
26,3398
26,3430
26,3438
26,3447
26,3449
26,3577
27,20
27,33
27,39
27,61
27,62
27,68
27,110
27,119
27,120
27,132
27,153
27,155
27,160
27,164
27,165
27,166
27,180
27,196
27,198
27,209
27,210
27,217
27,222
27,241
27,274
27,277
27,280
27,297
27,317
27,325
27,333
27,339
27,369
27,373
27,388
27,392
27,405
27,408
27,411
27,412
27,413
27,444
27,458
27,474
27,516
27,534
27,547
27,565
27,575
27,597
27,602
27,638
27,642
27,645
27,654
27,657
27,661
27,677
27,737
27,746
27,761
27,766
27,795
27,809
27,810
27,824
27,840
27,862
27,868
27,876
27,893
27,894
27,900
27,908
27,910
27,925
27,927
27,939
27,966
27,982
27,996
27,1019
27,1089
27,1094
27,1097
27,1106
27,1131
27,1138
27,1142
27,1175
27,1176
27,1204
27,1207
27,1240
27,1245
27,1257
27,1261
27,1264
27,1272
27,1273
27,1277
27,1295
27,1312
27,1319
27,1338
27,1347
27,1359
27,1377
27,1397
27,1398
27,1403
27,1413
27,1427
27,1435
27,1437
27,1453
27,1471
27,1487
27,1490
27,1491
27,1492
27,1494
27,1504
27,1516
27,1518
27,1531
27,1534
27,1553
27,1560
27,1566
27,1573
27,1586
27,1594
27,1596
27,1627
27,1633
27,1634
27,1656
27,1686
27,1695
27,1698
27,1699
27,1704
27,1732
27,1767
27,1773
27,1781
27,1787
27,1804
27,1810
27,1821
27,1827
27,1829
27,1832
27,1838
27,1841
27,1895
27,1907
27,1915
27,1922
27,1927
27,1929
27,1932
27,1942
27,1953
27,1965
27,1966
27,1969
27,1978
27,1979
27,1999
27,2016
27,2017
27,2019
27,2037
27,2082
27,2103
27,2104
27,2105
27,2107
27,2124
27,2127
27,2133
27,2141
27,2144
27,2145
27,2153
27,2189
27,2193
27,2198
27,2202
27,2205
27,2208
27,2230
27,2236
27,2253
27,2255
27,2258
27,2294
27,2316
27,2343
27,2351
27,2358
27,2366
27,2380
27,2389
27,2413
27,2418
27,2431
27,2433
27,2438
27,2520
27,2529
27,2544
27,2547
27,2570
27,2574
27,2579
27,2580
27,2587
27,2595
27,2600
27,2604
27,2612
27,2619
27,2631
27,2633
27,2640
27,2670
27,2678
27,2695
27,2724
27,2729
27,2733
27,2737
27,2750
27,2775
27,2789
27,2792
27,2818
27,2830
27,2832
27,2837
27,2861
27,2862
27,2863
27,2876
27,2887
27,2894
27,2900
27,2916
27,2923
27,2926
27,2974
27,2989
27,2997
27,3045
27,3051
27,3057
27,3059
27,3099
27,3105
27,3110
27,3115
27,3134
27,3156
27,3172
27,3189
27,3192
27,3203
27,3206
27,3216
27,3229
27,3238
27,3241
27,3250
27,3283
27,3287
27,3290
27,3293
27,3295
27,3339
27,3372
27,3398
27,3418
27,3430
27,3434
27,3438
27,3447
27,3449
27,3486
27,3503
27,3576
27,3577
28,37
28,61
28,85
28,113
28,143
28,164
28,198
28,201
28,217
28,310
28,314
28,317
28,339
28,362
28,404
28,523
28,540
28,547
28,565
28,601
28,602
28,616
28,661
28,692
28,698
28,761
28,772
28,803
28,862
28,877
28,879
28,908
28,925
28,1019
28,1089
28,1106
28,1134
28,1198
28,1205
28,1261
28,1264
28,1266
28,1290
28,1299
28,1352
28,1359
28,1494
28,1531
28,1562
28,1572
28,1628
28,1781
28,1849
28,1915
28,1940
28,1969
28,2037
28,2051
28,2107
28,2127
28,2133
28,2141
28,2198
28,2205
28,2208
28,2258
28,2358
28,2413
28,2451
28,2465
28,2477
28,2490
28,2576
28,2604
28,2619
28,2631
28,2660
28,2695
28,2740
28,2750
28,2844
28,2887
28,2900
28,2906
28,2913
28,2926
28,3057
28,3157
28,3181
28,3203
28,3283
28,3312
28,3339
28,3447
28,3461
28,3496
28,3577
